"Apptrian Extensions","Apptrian Extensions"
"Facebook Pixel and Conversions API","Facebook Pixel and Conversions API"
"About","About"
"Facebook Pixel (Client-Side Settings)","Facebook Pixel (Client-Side Settings)"
"Enabled","Enabled"
"Enables or disables Facebook Pixel.","Enables or disables Facebook Pixel."
"Facebook Pixel ID","Facebook Pixel ID"
"Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>","Your Facebook Pixel ID or comma-separated IDs. <strong>WARNING! See the tooltip!</strong>"
"You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>","You can use multiple pixels and they will track the same information. There is no limit on the number of IDs. However, Facebook does not recommend using multiple pixels on the same page.<br /><strong>""Using the track function on pages that have multiple pixels initialized (either using multiple base codes or even combining it within one base code) could produce over-firing or unexpected behavior and should be applied only in specific situations.""</strong>"
"Add Facebook Pixel To","Add Facebook Pixel To"
"Type page handles (full action names) where you want Facebook Pixel.","Type page handles (full action names) where you want Facebook Pixel."
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear.","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want Facebook Pixel to appear."
"Enable Facebook Pixel Base Code","Enable Facebook Pixel Base Code"
"Enable Facebook Pixel base code. <strong>WARNING! See the tooltip.</strong>","Enable Facebook Pixel base code. <strong>WARNING! See the tooltip.</strong>"
"This option enables Facebook Pixel base code. The base code is required for Facebook Pixel to function. If you want to use Facebook Conversions API only, you may disable it.","This option enables Facebook Pixel base code. The base code is required for Facebook Pixel to function. If you want to use Facebook Conversions API only, you may disable it."
"Enable noscript Tag","Enable noscript Tag"
"Enable noscript tag. <strong>See the tooltip.</strong>","Enable noscript tag. <strong>See the tooltip.</strong>"
"This option enables noscript tag. The noscript tag defines an alternate content to be displayed to users that have disabled scripts in their browser or have a browser that does not support scripts. There is no need for noscript tag because Magento requires scripts to function.","This option enables noscript tag. The noscript tag defines an alternate content to be displayed to users that have disabled scripts in their browser or have a browser that does not support scripts. There is no need for noscript tag because Magento requires scripts to function."
"Enable AddToCart Event","Enable AddToCart Event"
"Enable AddToCart event on client-side. <strong>See the tooltip.</strong>","Enable AddToCart event on client-side. <strong>See the tooltip.</strong>"
"This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel.","This option enables the client-side firing of the event. This is done with JavaScript in your visitor/customer web browser by the Facebook Pixel."
"Enable AddToWishlist Event","Enable AddToWishlist Event"
"Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>","Enable AddToWishlist event on client-side. <strong>See the tooltip.</strong>"
"Enable CompleteRegistration Event","Enable CompleteRegistration Event"
"Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>","Enable CompleteRegistration event on client-side. <strong>See the tooltip.</strong>"
"Enable InitiateCheckout Event","Enable InitiateCheckout Event"
"Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>","Enable InitiateCheckout event on client-side. <strong>See the tooltip.</strong>"
"Enable PageView Event","Enable PageView Event"
"Enable PageView event on client-side. <strong>See the tooltip.</strong>","Enable PageView event on client-side. <strong>See the tooltip.</strong>"
"Fire PageView With All Events","Fire PageView With All Events"
"Fire PageView event with all other events. <strong>See the tooltip.</strong>","Fire PageView event with all other events. <strong>See the tooltip.</strong>"
"This option will fire PageView event with all other events: CompleteRegistration, InitiateCheckout, Purchase, Search, and ViewContent.","This option will fire PageView event with all other events: CompleteRegistration, InitiateCheckout, Purchase, Search, and ViewContent."
"Enable Purchase Event","Enable Purchase Event"
"Enable Purchase event on client-side. <strong>See the tooltip.</strong>","Enable Purchase event on client-side. <strong>See the tooltip.</strong>"
"Enable Search Event","Enable Search Event"
"Enable Search event on client-side. <strong>See the tooltip.</strong>","Enable Search event on client-side. <strong>See the tooltip.</strong>"
"Enable ViewContent Event","Enable ViewContent Event"
"Enable ViewContent event on client-side. <strong>See the tooltip.</strong>","Enable ViewContent event on client-side. <strong>See the tooltip.</strong>"
"Move Parameters Outside Contents","Move Parameters Outside Contents"
"Move disallowed parameters outside contents. <strong>WARNING! See the tooltip!</strong>","Move disallowed parameters outside contents. <strong>WARNING! See the tooltip!</strong>"
"<strong>This option should be set to ""Yes"".</strong> Facebook Conversions API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>.","<strong>This option should be set to ""Yes"".</strong> Facebook Conversions API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>."
"Detect Selected SKU","Detect Selected SKU"
"Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>WARNING! See the tooltip!</strong>"
"This feature is heavily dependent on the theme you are using and its customization. It is impossible to predict all possible themes and customizations. Because of this detection will not work on every theme. This is why extension default configuration comes with this feature turned off. You can turn it on, try it out if it is working for you and if it does leave it on, otherwise turn it off. If you are a developer you will be pleased to know that everything is conveniently located in <strong>code.phtml</strong> file. To make it work, in some cases only the adjustment of few jQuery selectors is needed in others complete rewrite of detection code is needed. Because of this, <strong>we do not give any warranty for the detection feature, nor it is covered by our support service</strong>.","This feature is heavily dependent on the theme you are using and its customization. It is impossible to predict all possible themes and customizations. Because of this detection will not work on every theme. This is why extension default configuration comes with this feature turned off. You can turn it on, try it out if it is working for you and if it does leave it on, otherwise turn it off. If you are a developer you will be pleased to know that everything is conveniently located in <strong>code.phtml</strong> file. To make it work, in some cases only the adjustment of few jQuery selectors is needed in others complete rewrite of detection code is needed. Because of this, <strong>we do not give any warranty for the detection feature, nor it is covered by our support service</strong>."
"Detect Selected SKUs (Bundle)","Detect Selected SKUs (Bundle)"
"Try to detect selected SKUs for bundle products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKUs for bundle products. <strong>WARNING! See the tooltip!</strong>"
"Detect Selected SKU (Configurable)","Detect Selected SKU (Configurable)"
"Try to detect selected SKU for configurable products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKU for configurable products. <strong>WARNING! See the tooltip!</strong>"
"Detect Selected SKUs (Grouped)","Detect Selected SKUs (Grouped)"
"Try to detect selected SKUs for grouped products. <strong>WARNING! See the tooltip!</strong>","Try to detect selected SKUs for grouped products. <strong>WARNING! See the tooltip!</strong>"
"Facebook Conversions API (Server-Side Settings)","Facebook Conversions API (Server-Side Settings)"
"Enable Facebook Conversions API","Enable Facebook Conversions API"
"Enables or disables Facebook Conversions API. <strong>WARNING! See the tooltip!</strong>","Enables or disables Facebook Conversions API. <strong>WARNING! See the tooltip!</strong>"
"Facebook Conversions API will not work without valid Access Token and API Version.","Facebook Conversions API will not work without valid Access Token and API Version."
"Facebook Access Token","Facebook Access Token"
"Your Facebook Access Token. <strong>WARNING! See the tooltip!</strong>","Your Facebook Access Token. <strong>WARNING! See the tooltip!</strong>"
"Facebook Conversions API will not work without a valid Access Token.","Facebook Conversions API will not work without a valid Access Token."
"Facebook API Version","Facebook API Version"
"Your Facebook API Version. <strong>WARNING! See the tooltip!</strong>","Your Facebook API Version. <strong>WARNING! See the tooltip!</strong>"
"Facebook Conversions API will not work without a valid API Version.","Facebook Conversions API will not work without a valid API Version."
"Test Event Code","Test Event Code"
"Your <strong>test_event_code</strong> for testing events. <strong>WARNING! See the tooltip!</strong>","Your <strong>test_event_code</strong> for testing events. <strong>WARNING! See the tooltip!</strong>"
"<strong>WARNING! Leave this field empty! Only use it for testing purposes.</strong> Facebook Conversions API allows you to test your events. Be aware Facebook gives priority to Facebook Pixel (client-side) events. If both Facebook Pixel (client-side) and Facebook Conversions API (server-side) events are fired the latter will be disregarded (dropped). The test_event_code is useful if your Magento store is in production and you want to test server-side events without turning off Facebook Pixel (client-side) events. You can see test events in your Facebook Business Manager.","<strong>WARNING! Leave this field empty! Only use it for testing purposes.</strong> Facebook Conversions API allows you to test your events. Be aware Facebook gives priority to Facebook Pixel (client-side) events. If both Facebook Pixel (client-side) and Facebook Conversions API (server-side) events are fired the latter will be disregarded (dropped). The test_event_code is useful if your Magento store is in production and you want to test server-side events without turning off Facebook Pixel (client-side) events. You can see test events in your Facebook Business Manager."
"Log Events","Log Events"
"Enable logging of events. <strong>WARNING! See the tooltip.</strong>","Enable logging of events. <strong>WARNING! See the tooltip.</strong>"
"<strong>WARNING! Leave this option disabled! Only enable it for debugging purposes.</strong>","<strong>WARNING! Leave this option disabled! Only enable it for debugging purposes.</strong>"
"Event Firing Mode","Event Firing Mode"
"Select event firing mode. <strong>WARNING! See the tooltip.</strong>","Select event firing mode. <strong>WARNING! See the tooltip.</strong>"
"<strong>Mode 1</strong><br />Events fire via AJAX calls. In this mode, you can fire both the Facebook Pixel event and Facebook Conversions API event simultaneously.<br /><strong>Mode 2 (API Only)</strong><br />Events fire from the server without going to the web browser. In this mode, you cannot send both Facebook Pixel and Facebook Conversions API events simultaneously. If a particular Facebook Conversions API event is enabled, the corresponding Facebook Pixel event is automatically disabled to avoid duplication.","<strong>Mode 1</strong><br />Events fire via AJAX calls. In this mode, you can fire both the Facebook Pixel event and Facebook Conversions API event simultaneously.<br /><strong>Mode 2 (API Only)</strong><br />Events fire from the server without going to the web browser. In this mode, you cannot send both Facebook Pixel and Facebook Conversions API events simultaneously. If a particular Facebook Conversions API event is enabled, the corresponding Facebook Pixel event is automatically disabled to avoid duplication."
"Enable AddToCart event on server-side. <strong>See the tooltip.</strong>","Enable AddToCart event on server-side. <strong>See the tooltip.</strong>"
"This option enables the server-side firing of the event. This is done with PHP on your server by the Facebook Conversions API.","This option enables the server-side firing of the event. This is done with PHP on your server by the Facebook Conversions API."
"Enable AddToWishlist event on server-side. <strong>See the tooltip.</strong>","Enable AddToWishlist event on server-side. <strong>See the tooltip.</strong>"
"Enable CompleteRegistration event on server-side. <strong>See the tooltip.</strong>","Enable CompleteRegistration event on server-side. <strong>See the tooltip.</strong>"
"Enable InitiateCheckout event on server-side. <strong>See the tooltip.</strong>","Enable InitiateCheckout event on server-side. <strong>See the tooltip.</strong>"
"Enable PageView event on server-side. <strong>See the tooltip.</strong>","Enable PageView event on server-side. <strong>See the tooltip.</strong>"
"Enable Purchase event on server-side. <strong>See the tooltip.</strong>","Enable Purchase event on server-side. <strong>See the tooltip.</strong>"
"Enable Search event on server-side. <strong>See the tooltip.</strong>","Enable Search event on server-side. <strong>See the tooltip.</strong>"
"Enable ViewContent event on server-side. <strong>See the tooltip.</strong>","Enable ViewContent event on server-side. <strong>See the tooltip.</strong>"
"<strong>This option must be set to ""Yes"".</strong> Facebook Conversions API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>.","<strong>This option must be set to ""Yes"".</strong> Facebook Conversions API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>."
"Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>See the tooltip.</strong>","Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>See the tooltip.</strong>"
"Unlike client-side detection server-side detection is not dependent on a theme and its customization. It is more reliable and precise.","Unlike client-side detection server-side detection is not dependent on a theme and its customization. It is more reliable and precise."
"Try to detect selected SKUs for bundle products. <strong>See the tooltip.</strong>","Try to detect selected SKUs for bundle products. <strong>See the tooltip.</strong>"
"Try to detect selected SKU for configurable products. <strong>See the tooltip.</strong>","Try to detect selected SKU for configurable products. <strong>See the tooltip.</strong>"
"Try to detect selected SKUs for grouped products. <strong>See the tooltip.</strong>","Try to detect selected SKUs for grouped products. <strong>See the tooltip.</strong>"
"Category (Category Page)","Category (Category Page)"
"Add Category-Related Code To","Add Category-Related Code To"
"Type page handles (full action names) where you want category-related code. <strong>See the tooltip.</strong>","Type page handles (full action names) where you want category-related code. <strong>See the tooltip.</strong>"
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_category_view<br />In this option you would type all handles where you want to add category-related code.<br /><strong>This option only works for category page handles where category object is set.</strong>","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_category_view<br />In this option you would type all handles where you want to add category-related code.<br /><strong>This option only works for category page handles where category object is set.</strong>"
"Event Name","Event Name"
"Type <strong>event name</strong> you want to use for category tracking. See the tooltip.","Type <strong>event name</strong> you want to use for category tracking. See the tooltip."
"The proper event should be <strong>ViewCategory</strong> but Facebook specification does not have this (yet) as standard event. You can use <strong>ViewContent</strong>. Leave this option to empty if you want only <strong>PageView</strong> event on category pages. Recommendation is to set this option to empty or use <strong>ViewCategory</strong> as custom event.","The proper event should be <strong>ViewCategory</strong> but Facebook specification does not have this (yet) as standard event. You can use <strong>ViewContent</strong>. Leave this option to empty if you want only <strong>PageView</strong> event on category pages. Recommendation is to set this option to empty or use <strong>ViewCategory</strong> as custom event."
"Category Parameters to Attributes Mapping","Category Parameters to Attributes Mapping"
"If you want to add custom parameters to categories. Please see the tooltip.","If you want to add custom parameters to categories. Please see the tooltip."
"Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento category attribute are connected by = sign and pairs are separated by | sign.","Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento category attribute are connected by = sign and pairs are separated by | sign."
"Product (Product Page - AddToCart, AddToWishlist, ViewContent Events)","Product (Product Page - AddToCart, AddToWishlist, ViewContent Events)"
"Add Product-Related Code To","Add Product-Related Code To"
"Type page handles (full action names) where you want product-related code. <strong>See the tooltip.</strong>","Type page handles (full action names) where you want product-related code. <strong>See the tooltip.</strong>"
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want to add product-related code.<br /><strong>This option only works for product page handles where product object is set.</strong>","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want to add product-related code.<br /><strong>This option only works for product page handles where product object is set.</strong>"
"For Bundle Products Use","For Bundle Products Use"
"Select SKU you want to use for bundle products. See the tooltip.","Select SKU you want to use for bundle products. See the tooltip."
"Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'","Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'"
"Use product_group Instead of product (Bundle)","Use product_group Instead of product (Bundle)"
"For <strong>content_type</strong> use <strong>product_group</strong> instead of <strong>product</strong>. <strong>WARNING! See the tooltip!</strong>","For <strong>content_type</strong> use <strong>product_group</strong> instead of <strong>product</strong>. <strong>WARNING! See the tooltip!</strong>"
"This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Bundle Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>.""","This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Bundle Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>."""
"For Configurable Products Use","For Configurable Products Use"
"Select SKU you want to use for configurable products. See the tooltip.","Select SKU you want to use for configurable products. See the tooltip."
"Use product_group Instead of product (Configurable)","Use product_group Instead of product (Configurable)"
"This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Configurable Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>.""","This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Configurable Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>."""
"For Downloadable Products Use","For Downloadable Products Use"
"Select SKU you want to use for downloadable products. See the tooltip.","Select SKU you want to use for downloadable products. See the tooltip."
